id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
uk-news/2025/mar/20/children-teenagers-sextortion-uk-national-crime-agency-campaign,article,uk-news,UK news,2025-03-20T00:01:09Z,More than 110 child sextortion attempts reported each month to UK police forces,https://www.theguardian.com/uk-news/2025/mar/20/children-teenagers-sextortion-uk-national-crime-agency-campaign,https://content.guardianapis.com/uk-news/2025/mar/20/children-teenagers-sextortion-uk-national-crime-agency-campaign,False,pillar/news,News
books/2025/feb/26/paul-mccartney-wings-the-story-of-a-band-on-the-run-book,article,books,Books,2025-02-26T18:02:13Z,‘Madcap adventures’: Paul McCartney co-authors book about his time in Wings,https://www.theguardian.com/books/2025/feb/26/paul-mccartney-wings-the-story-of-a-band-on-the-run-book,https://content.guardianapis.com/books/2025/feb/26/paul-mccartney-wings-the-story-of-a-band-on-the-run-book,False,pillar/arts,Arts
education/2025/feb/03/caroline-reid-obituary,article,education,Education,2025-02-03T17:32:58Z,Caroline Reid obituary,https://www.theguardian.com/education/2025/feb/03/caroline-reid-obituary,https://content.guardianapis.com/education/2025/feb/03/caroline-reid-obituary,False,pillar/news,News
technology/2025/mar/09/internet-shutdowns-record-high-africa-2024-access-weaponised,article,technology,Technology,2025-03-09T09:00:49Z,Internet shutdowns at record high in Africa as access ‘weaponised’,https://www.theguardian.com/technology/2025/mar/09/internet-shutdowns-record-high-africa-2024-access-weaponised,https://content.guardianapis.com/technology/2025/mar/09/internet-shutdowns-record-high-africa-2024-access-weaponised,False,pillar/news,News
football/2025/feb/26/chido-awaziem-rapids-lafc-allegation,article,football,Football,2025-02-26T16:35:11Z,Rapids-LAFC game halted after derogatory term allegedly directed at Chido Awaziem,https://www.theguardian.com/football/2025/feb/26/chido-awaziem-rapids-lafc-allegation,https://content.guardianapis.com/football/2025/feb/26/chido-awaziem-rapids-lafc-allegation,False,pillar/sport,Sport
uk-news/2025/mar/09/children-in-uk-as-young-as-11-targeted-by-sextortion-criminals-data-reveals,article,uk-news,UK news,2025-03-09T18:00:00Z,"Children in UK as young as 11 targeted by sextortion criminals, data reveals",https://www.theguardian.com/uk-news/2025/mar/09/children-in-uk-as-young-as-11-targeted-by-sextortion-criminals-data-reveals,https://content.guardianapis.com/uk-news/2025/mar/09/children-in-uk-as-young-as-11-targeted-by-sextortion-criminals-data-reveals,False,pillar/news,News
global-development/2025/mar/10/drone-attacks-killing-hundreds-of-civilians-across-africa-says-report,article,global-development,Global development,2025-03-10T07:00:15Z,"Drone attacks killing hundreds of civilians across Africa, says report ",https://www.theguardian.com/global-development/2025/mar/10/drone-attacks-killing-hundreds-of-civilians-across-africa-says-report,https://content.guardianapis.com/global-development/2025/mar/10/drone-attacks-killing-hundreds-of-civilians-across-africa-says-report,False,pillar/news,News
commentisfree/2025/mar/21/the-guardian-view-on-climate-fiction-no-longer-the-stuff-of-sci-fi,article,commentisfree,Opinion,2025-03-21T17:50:12Z,The Guardian view on climate fiction: no longer the stuff of sci-fi | Editorial,https://www.theguardian.com/commentisfree/2025/mar/21/the-guardian-view-on-climate-fiction-no-longer-the-stuff-of-sci-fi,https://content.guardianapis.com/commentisfree/2025/mar/21/the-guardian-view-on-climate-fiction-no-longer-the-stuff-of-sci-fi,False,pillar/opinion,Opinion
world/2025/jan/09/chads-government-says-18-killed-during-foiled-attack-on-presidential-complex,article,world,World news,2025-01-09T13:14:24Z,Chad’s government says 19 killed during foiled attack on presidential complex,https://www.theguardian.com/world/2025/jan/09/chads-government-says-18-killed-during-foiled-attack-on-presidential-complex,https://content.guardianapis.com/world/2025/jan/09/chads-government-says-18-killed-during-foiled-attack-on-presidential-complex,False,pillar/news,News
football/2025/feb/03/football-transfer-deadline-day-rumours-mathys-tel-to-arsenal-joao-felix-to-milan,article,football,Football,2025-02-03T09:31:35Z,Football transfer deadline day rumours: Mathys Tel to north London? João Félix  to Milan?,https://www.theguardian.com/football/2025/feb/03/football-transfer-deadline-day-rumours-mathys-tel-to-arsenal-joao-felix-to-milan,https://content.guardianapis.com/football/2025/feb/03/football-transfer-deadline-day-rumours-mathys-tel-to-arsenal-joao-felix-to-milan,False,pillar/sport,Sport
books/2025/feb/21/ben-okri-is-a-tale-of-two-cities-the-greatest-english-novel-meet-me-in-a-pub-to-discuss,article,books,Books,2025-02-21T10:00:35Z,Ben Okri: ‘Is A Tale of Two Cities the greatest English novel? Meet me in a pub to discuss’,https://www.theguardian.com/books/2025/feb/21/ben-okri-is-a-tale-of-two-cities-the-greatest-english-novel-meet-me-in-a-pub-to-discuss,https://content.guardianapis.com/books/2025/feb/21/ben-okri-is-a-tale-of-two-cities-the-greatest-english-novel-meet-me-in-a-pub-to-discuss,False,pillar/arts,Arts
news/2025/jan/01/the-long-wave-met-gala-black-culture-2025-chimamanda-ngozie-adichie-michael-jackson,article,news,News,2025-01-01T12:17:37Z,"The Long Wave: From the Met Gala to Afcon, 2025 promises to be a bumper year",https://www.theguardian.com/news/2025/jan/01/the-long-wave-met-gala-black-culture-2025-chimamanda-ngozie-adichie-michael-jackson,https://content.guardianapis.com/news/2025/jan/01/the-long-wave-met-gala-black-culture-2025-chimamanda-ngozie-adichie-michael-jackson,False,pillar/news,News
society/2025/mar/06/female-doctors-outnumber-male-peers-in-uk-for-first-time,article,society,Society,2025-03-06T05:00:20Z,Female doctors outnumber male peers in UK for first time,https://www.theguardian.com/society/2025/mar/06/female-doctors-outnumber-male-peers-in-uk-for-first-time,https://content.guardianapis.com/society/2025/mar/06/female-doctors-outnumber-male-peers-in-uk-for-first-time,False,pillar/news,News
stage/2025/mar/19/like-seeing-an-old-friend-oyinkan-braithwaite-on-my-sister-the-serial-killer-becoming-a-ballet,article,stage,Stage,2025-03-19T08:11:54Z,"‘Like seeing an old friend’: Oyinkan Braithwaite on My Sister, the Serial Killer becoming a ballet",https://www.theguardian.com/stage/2025/mar/19/like-seeing-an-old-friend-oyinkan-braithwaite-on-my-sister-the-serial-killer-becoming-a-ballet,https://content.guardianapis.com/stage/2025/mar/19/like-seeing-an-old-friend-oyinkan-braithwaite-on-my-sister-the-serial-killer-becoming-a-ballet,False,pillar/arts,Arts
society/2025/mar/10/us-aid-cuts-tuberculosis-tb-untreatable-bug-drug-resistance-stop-tb-partnership-who,article,society,Society,2025-03-10T12:00:28Z,USAid cuts could create untreatable TB bug ‘resistant to everything we have’,https://www.theguardian.com/society/2025/mar/10/us-aid-cuts-tuberculosis-tb-untreatable-bug-drug-resistance-stop-tb-partnership-who,https://content.guardianapis.com/society/2025/mar/10/us-aid-cuts-tuberculosis-tb-untreatable-bug-drug-resistance-stop-tb-partnership-who,False,pillar/news,News
music/2025/feb/18/bashy-darkoo-and-odeal-top-winners-at-2025-mobo-awards,article,music,Music,2025-02-18T22:00:16Z,"Bashy, Darkoo and Odeal top winners at 2025 Mobo awards",https://www.theguardian.com/music/2025/feb/18/bashy-darkoo-and-odeal-top-winners-at-2025-mobo-awards,https://content.guardianapis.com/music/2025/feb/18/bashy-darkoo-and-odeal-top-winners-at-2025-mobo-awards,False,pillar/arts,Arts
